Counts,Degree
122595.0,3.0
0.0,3.26
0.0,3.52
55140.0,3.7800000000000002
0.0,4.04
0.0,4.3
0.0,4.5600000000000005
26767.0,4.82
0.0,5.08
0.0,5.34
0.0,5.6
21199.0,5.86
0.0,6.12
0.0,6.38
0.0,6.640000000000001
15454.0,6.9
0.0,7.16
0.0,7.42
0.0,7.68
11689.0,7.94
0.0,8.2
0.0,8.46
0.0,8.72
8505.0,8.98
0.0,9.24
0.0,9.5
6839.0,9.76
0.0,10.02
0.0,10.280000000000001
0.0,10.54
5213.0,10.8
0.0,11.06
0.0,11.32
0.0,11.58
4462.0,11.84
0.0,12.1
0.0,12.36
0.0,12.620000000000001
3582.0,12.88
0.0,13.14
0.0,13.4
0.0,13.66
3148.0,13.92
0.0,14.18
0.0,14.440000000000001
0.0,14.700000000000001
2694.0,14.96
0.0,15.22
0.0,15.48
0.0,15.74
2239.0,16.0
0.0,16.259999999999998
0.0,16.52
1809.0,16.78
0.0,17.04
0.0,17.3
0.0,17.560000000000002
1713.0,17.82
0.0,18.08
0.0,18.34
0.0,18.6
1381.0,18.86
0.0,19.12
0.0,19.38
0.0,19.64
1147.0,19.900000000000002
0.0,20.16
0.0,20.42
0.0,20.68
1078.0,20.94
0.0,21.2
0.0,21.46
0.0,21.72
964.0,21.98
0.0,22.240000000000002
0.0,22.5
933.0,22.76
0.0,23.02
0.0,23.28
0.0,23.54
786.0,23.8
0.0,24.060000000000002
0.0,24.32
0.0,24.580000000000002
797.0,24.84
0.0,25.1
0.0,25.36
0.0,25.62
645.0,25.880000000000003
0.0,26.14
0.0,26.400000000000002
0.0,26.66
626.0,26.92
0.0,27.18
0.0,27.44
0.0,27.7
639.0,27.96
0.0,28.220000000000002
0.0,28.48
0.0,28.740000000000002
575.0,29.0
0.0,29.26
0.0,29.52
678.0,29.78
0.0,30.04
0.0,30.3
0.0,30.560000000000002
528.0,30.82
0.0,31.080000000000002
0.0,31.34
0.0,31.6
444.0,31.86
0.0,32.120000000000005
0.0,32.38
0.0,32.64
428.0,32.900000000000006
0.0,33.16
0.0,33.42
0.0,33.68
409.0,33.94
0.0,34.2
0.0,34.46
0.0,34.72
377.0,34.980000000000004
0.0,35.24
0.0,35.5
337.0,35.76
0.0,36.02
0.0,36.28
0.0,36.54
321.0,36.800000000000004
0.0,37.06
0.0,37.32
0.0,37.58
328.0,37.84
0.0,38.1
0.0,38.36
0.0,38.620000000000005
340.0,38.88
0.0,39.14
0.0,39.4
0.0,39.660000000000004
372.0,39.92
0.0,40.18
0.0,40.44
0.0,40.7
329.0,40.96
0.0,41.22
0.0,41.480000000000004
0.0,41.74
289.0,42.0
0.0,42.26
0.0,42.52
331.0,42.78
0.0,43.04
0.0,43.300000000000004
0.0,43.56
323.0,43.82
0.0,44.08
0.0,44.34
0.0,44.6
306.0,44.86
0.0,45.120000000000005
0.0,45.38
0.0,45.64
263.0,45.9
0.0,46.160000000000004
0.0,46.42
0.0,46.68
208.0,46.940000000000005
0.0,47.2
0.0,47.46
0.0,47.72
221.0,47.980000000000004
0.0,48.24
0.0,48.5
184.0,48.760000000000005
0.0,49.02
0.0,49.28
0.0,49.54
181.0,49.800000000000004
0.0,50.06
0.0,50.32
0.0,50.58
184.0,50.84
0.0,51.1
0.0,51.36
0.0,51.620000000000005
204.0,51.88
0.0,52.14
0.0,52.4
0.0,52.660000000000004
191.0,52.92
0.0,53.18
0.0,53.440000000000005
0.0,53.7
191.0,53.96
0.0,54.22
0.0,54.480000000000004
0.0,54.74
135.0,55.0
0.0,55.260000000000005
0.0,55.52
137.0,55.78
0.0,56.04
0.0,56.300000000000004
0.0,56.56
149.0,56.82
0.0,57.08
0.0,57.34
0.0,57.6
177.0,57.86
0.0,58.120000000000005
0.0,58.38
0.0,58.64
187.0,58.9
0.0,59.160000000000004
0.0,59.42
0.0,59.68
147.0,59.940000000000005
0.0,60.2
0.0,60.46
0.0,60.72
156.0,60.980000000000004
0.0,61.24
0.0,61.5
147.0,61.760000000000005
0.0,62.02
0.0,62.28
0.0,62.54
142.0,62.800000000000004
0.0,63.06
0.0,63.32
0.0,63.580000000000005
160.0,63.84
0.0,64.1
0.0,64.36
0.0,64.62
168.0,64.88
0.0,65.14
