Counts,Lengths
566.0,30.0
0.0,30.316
0.0,30.632
509.0,30.948
0.0,31.264
0.0,31.58
520.0,31.896
0.0,32.212
0.0,32.528
471.0,32.844
0.0,33.16
0.0,33.476
528.0,33.792
0.0,34.108
0.0,34.424
499.0,34.74
0.0,35.056
0.0,35.372
445.0,35.688
0.0,36.004
0.0,36.32
0.0,36.636
427.0,36.952
0.0,37.268
0.0,37.584
430.0,37.9
0.0,38.216
0.0,38.532
416.0,38.848
0.0,39.164
0.0,39.480000000000004
352.0,39.796
0.0,40.112
0.0,40.428
387.0,40.744
0.0,41.06
0.0,41.376
381.0,41.692
0.0,42.008
0.0,42.324
0.0,42.64
349.0,42.956
0.0,43.272
0.0,43.588
324.0,43.903999999999996
0.0,44.22
0.0,44.536
315.0,44.852000000000004
0.0,45.168
0.0,45.484
364.0,45.8
0.0,46.116
0.0,46.432
325.0,46.748000000000005
0.0,47.064
0.0,47.379999999999995
311.0,47.696
0.0,48.012
0.0,48.328
0.0,48.644000000000005
346.0,48.96
0.0,49.275999999999996
0.0,49.592
319.0,49.908
0.0,50.224000000000004
0.0,50.54
341.0,50.856
0.0,51.172
0.0,51.488
346.0,51.804
0.0,52.120000000000005
0.0,52.436
354.0,52.751999999999995
0.0,53.068
0.0,53.384
361.0,53.7
0.0,54.016000000000005
0.0,54.332
0.0,54.647999999999996
360.0,54.964
0.0,55.28
0.0,55.596000000000004
348.0,55.912
0.0,56.228
0.0,56.544
335.0,56.86
0.0,57.176
0.0,57.492000000000004
350.0,57.808
0.0,58.123999999999995
0.0,58.44
373.0,58.756
0.0,59.072
0.0,59.388000000000005
350.0,59.704
0.0,60.019999999999996
0.0,60.336
0.0,60.652
358.0,60.968
0.0,61.284
0.0,61.6
392.0,61.916
0.0,62.232
0.0,62.548
371.0,62.864
0.0,63.18
0.0,63.496
353.0,63.812
0.0,64.128
0.0,64.444
444.0,64.75999999999999
0.0,65.076
0.0,65.392
388.0,65.708
0.0,66.024
0.0,66.34
0.0,66.656
427.0,66.97200000000001
0.0,67.28800000000001
0.0,67.604
396.0,67.92
0.0,68.23599999999999
0.0,68.55199999999999
409.0,68.868
0.0,69.184
0.0,69.5
457.0,69.816
0.0,70.132
0.0,70.44800000000001
490.0,70.76400000000001
0.0,71.08
0.0,71.396
399.0,71.712
0.0,72.02799999999999
0.0,72.344
0.0,72.66
455.0,72.976
0.0,73.292
0.0,73.608
486.0,73.924
0.0,74.24000000000001
0.0,74.556
462.0,74.872
0.0,75.188
0.0,75.50399999999999
456.0,75.82
0.0,76.136
0.0,76.452
494.0,76.768
0.0,77.084
0.0,77.4
502.0,77.71600000000001
0.0,78.03200000000001
0.0,78.348
0.0,78.664
524.0,78.98
0.0,79.29599999999999
0.0,79.612
508.0,79.928
0.0,80.244
0.0,80.56
496.0,80.876
0.0,81.19200000000001
0.0,81.50800000000001
511.0,81.824
0.0,82.14
0.0,82.456
555.0,82.77199999999999
0.0,83.088
0.0,83.404
584.0,83.72
0.0,84.036
0.0,84.352
0.0,84.668
649.0,84.98400000000001
0.0,85.3
0.0,85.616
620.0,85.932
0.0,86.24799999999999
0.0,86.564
625.0,86.88
0.0,87.196
0.0,87.512
647.0,87.828
0.0,88.144
0.0,88.46000000000001
658.0,88.77600000000001
0.0,89.092
0.0,89.408
704.0,89.724
0.0,90.03999999999999
0.0,90.356
0.0,90.672
720.0,90.988
0.0,91.304
0.0,91.62
685.0,91.936
0.0,92.25200000000001
0.0,92.568
734.0,92.884
0.0,93.2
0.0,93.51599999999999
809.0,93.832
0.0,94.148
0.0,94.464
774.0,94.78
0.0,95.096
0.0,95.412
800.0,95.728
0.0,96.044
0.0,96.36
0.0,96.676
824.0,96.992
