Counts,Degree
298763.0,3.0
16845.0,4.191
24719.0,5.382
27311.0,6.573
26783.0,7.764
44958.0,8.955
17787.0,10.146
15051.0,11.337
12534.0,12.528
10269.0,13.719000000000001
15909.0,14.91
6063.0,16.101
5173.0,17.292
4423.0,18.483
3850.0,19.674
5971.0,20.865000000000002
2368.0,22.056
2011.0,23.247
1762.0,24.438000000000002
1602.0,25.629
2596.0,26.82
1147.0,28.011000000000003
993.0,29.202
953.0,30.393
891.0,31.584000000000003
806.0,32.775000000000006
1459.0,33.966
694.0,35.157000000000004
685.0,36.348
601.0,37.539
637.0,38.730000000000004
1110.0,39.921
498.0,41.112
436.0,42.303000000000004
505.0,43.494
408.0,44.685
810.0,45.876000000000005
376.0,47.067
356.0,48.258
342.0,49.449000000000005
325.0,50.64
588.0,51.831
272.0,53.022000000000006
286.0,54.213
287.0,55.404
297.0,56.595000000000006
259.0,57.786
515.0,58.977000000000004
225.0,60.168000000000006
252.0,61.359
224.0,62.550000000000004
232.0,63.741
415.0,64.932
185.0,66.123
157.0,67.31400000000001
144.0,68.50500000000001
131.0,69.696
295.0,70.887
137.0,72.078
137.0,73.269
148.0,74.46000000000001
160.0,75.65100000000001
302.0,76.842
129.0,78.033
148.0,79.224
145.0,80.415
139.0,81.60600000000001
137.0,82.797
282.0,83.988
122.0,85.179
122.0,86.37
127.0,87.561
146.0,88.75200000000001
218.0,89.943
107.0,91.134
124.0,92.325
110.0,93.516
118.0,94.70700000000001
250.0,95.89800000000001
118.0,97.089
99.0,98.28
122.0,99.471
116.0,100.662
193.0,101.85300000000001
86.0,103.04400000000001
76.0,104.235
87.0,105.426
104.0,106.617
79.0,107.808
149.0,108.99900000000001
85.0,110.19000000000001
81.0,111.381
73.0,112.572
59.0,113.763
105.0,114.95400000000001
56.0,116.14500000000001
68.0,117.33600000000001
60.0,118.527
57.0,119.718
99.0,120.909
49.0,122.10000000000001
58.0,123.29100000000001
64.0,124.482
50.0,125.673
105.0,126.864
49.0,128.055
31.0,129.246
44.0,130.437
44.0,131.62800000000001
68.0,132.81900000000002
32.0,134.01000000000002
32.0,135.201
30.0,136.392
35.0,137.583
23.0,138.774
53.0,139.965
18.0,141.156
23.0,142.347
31.0,143.538
16.0,144.729
43.0,145.92000000000002
20.0,147.11100000000002
17.0,148.30200000000002
19.0,149.493
19.0,150.684
39.0,151.875
16.0,153.066
21.0,154.257
17.0,155.448
18.0,156.639
30.0,157.83
12.0,159.02100000000002
12.0,160.21200000000002
7.0,161.40300000000002
17.0,162.594
7.0,163.785
20.0,164.976
19.0,166.167
10.0,167.358
20.0,168.549
11.0,169.74
29.0,170.931
15.0,172.122
23.0,173.31300000000002
15.0,174.50400000000002
19.0,175.69500000000002
43.0,176.886
20.0,178.077
19.0,179.268
18.0,180.459
13.0,181.65
21.0,182.841
9.0,184.032
14.0,185.223
18.0,186.41400000000002
10.0,187.60500000000002
12.0,188.79600000000002
28.0,189.98700000000002
21.0,191.178
18.0,192.369
11.0,193.56
16.0,194.751
30.0,195.942
19.0,197.133
14.0,198.324
11.0,199.51500000000001
16.0,200.70600000000002
33.0,201.89700000000002
6.0,203.08800000000002
15.0,204.279
12.0,205.47
14.0,206.661
22.0,207.852
19.0,209.043
19.0,210.234
11.0,211.425
21.0,212.616
11.0,213.80700000000002
34.0,214.99800000000002
16.0,216.18900000000002
12.0,217.38000000000002
13.0,218.571
11.0,219.762
22.0,220.953
12.0,222.144
10.0,223.335
8.0,224.526
12.0,225.717
17.0,226.90800000000002
12.0,228.09900000000002
16.0,229.29000000000002
9.0,230.48100000000002
12.0,231.67200000000003
14.0,232.863
6.0,234.054
5.0,235.245
8.0,236.436
12.0,237.627
10.0,238.818
11.0,240.00900000000001
7.0,241.20000000000002
9.0,242.39100000000002
11.0,243.58200000000002
8.0,244.77300000000002
19.0,245.964
4.0,247.155
10.0,248.346
3.0,249.537
6.0,250.728
9.0,251.919
6.0,253.11
3.0,254.30100000000002
4.0,255.49200000000002
6.0,256.683
5.0,257.874
0.0,259.065
2.0,260.25600000000003
1.0,261.447
1.0,262.63800000000003
3.0,263.829
1.0,265.02000000000004
1.0,266.211
4.0,267.402
0.0,268.593
0.0,269.784
3.0,270.975
1.0,272.166
2.0,273.357
1.0,274.548
2.0,275.73900000000003
3.0,276.93
1.0,278.12100000000004
0.0,279.312
1.0,280.503
1.0,281.694
2.0,282.885
1.0,284.076
1.0,285.267
0.0,286.458
2.0,287.649
3.0,288.84000000000003
0.0,290.031
1.0,291.22200000000004
1.0,292.413
1.0,293.60400000000004
2.0,294.795
3.0,295.986
1.0,297.177
1.0,298.368
2.0,299.559
4.0,300.75
3.0,301.94100000000003
3.0,303.132
2.0,304.32300000000004
2.0,305.514
0.0,306.70500000000004
1.0,307.896
0.0,309.087
0.0,310.278
0.0,311.469
1.0,312.66
0.0,313.851
0.0,315.04200000000003
0.0,316.233
0.0,317.42400000000004
1.0,318.615
3.0,319.80600000000004
1.0,320.997
0.0,322.188
0.0,323.379
0.0,324.57
0.0,325.761
0.0,326.952
0.0,328.14300000000003
0.0,329.334
0.0,330.52500000000003
0.0,331.716
0.0,332.90700000000004
0.0,334.098
0.0,335.28900000000004
0.0,336.48
0.0,337.671
0.0,338.862
0.0,340.053
0.0,341.244
0.0,342.435
0.0,343.62600000000003
0.0,344.817
0.0,346.00800000000004
0.0,347.199
0.0,348.39000000000004
0.0,349.581
0.0,350.772
0.0,351.963
0.0,353.154
0.0,354.345
0.0,355.536
0.0,356.72700000000003
0.0,357.918
0.0,359.10900000000004
0.0,360.3
0.0,361.49100000000004
0.0,362.682
0.0,363.873
0.0,365.064
0.0,366.255
0.0,367.446
0.0,368.637
0.0,369.82800000000003
0.0,371.019
0.0,372.21000000000004
0.0,373.401
0.0,374.59200000000004
0.0,375.783
1.0,376.97400000000005
0.0,378.165
0.0,379.356
0.0,380.547
0.0,381.738
0.0,382.92900000000003
0.0,384.12
0.0,385.31100000000004
0.0,386.502
0.0,387.69300000000004
0.0,388.884
0.0,390.07500000000005
0.0,391.266
0.0,392.457
0.0,393.648
0.0,394.839
0.0,396.03000000000003
0.0,397.221
0.0,398.41200000000003
0.0,399.603
0.0,400.79400000000004
0.0,401.985
0.0,403.17600000000004
0.0,404.367
0.0,405.558
0.0,406.749
1.0,407.94
0.0,409.13100000000003
0.0,410.322
0.0,411.51300000000003
0.0,412.704
1.0,413.89500000000004
0.0,415.086
0.0,416.27700000000004
0.0,417.468
0.0,418.65900000000005
0.0,419.85
0.0,421.041
0.0,422.232
0.0,423.423
0.0,424.61400000000003
0.0,425.805
0.0,426.99600000000004
0.0,428.187
0.0,429.37800000000004
0.0,430.569
0.0,431.76000000000005
1.0,432.951
0.0,434.142
0.0,435.333
0.0,436.524
0.0,437.71500000000003
0.0,438.906
0.0,440.09700000000004
0.0,441.288
0.0,442.47900000000004
0.0,443.67
0.0,444.86100000000005
0.0,446.052
0.0,447.243
0.0,448.434
0.0,449.625
0.0,450.81600000000003
0.0,452.007
0.0,453.19800000000004
0.0,454.389
0.0,455.58000000000004
0.0,456.771
0.0,457.96200000000005
0.0,459.153
0.0,460.34400000000005
0.0,461.535
0.0,462.726
0.0,463.91700000000003
0.0,465.108
0.0,466.29900000000004
0.0,467.49
0.0,468.68100000000004
0.0,469.872
0.0,471.06300000000005
0.0,472.254
0.0,473.44500000000005
0.0,474.636
0.0,475.827
0.0,477.01800000000003
0.0,478.209
0.0,479.40000000000003
0.0,480.591
0.0,481.78200000000004
0.0,482.973
0.0,484.16400000000004
0.0,485.355
0.0,486.54600000000005
0.0,487.737
0.0,488.928
0.0,490.119
0.0,491.31
0.0,492.50100000000003
0.0,493.692
0.0,494.88300000000004
0.0,496.074
0.0,497.26500000000004
0.0,498.456
0.0,499.64700000000005
0.0,500.838
0.0,502.029
0.0,503.22
0.0,504.411
0.0,505.60200000000003
0.0,506.793
0.0,507.98400000000004
0.0,509.175
0.0,510.36600000000004
0.0,511.557
0.0,512.748
0.0,513.9390000000001
0.0,515.13
0.0,516.321
0.0,517.5120000000001
0.0,518.703
0.0,519.894
0.0,521.085
0.0,522.2760000000001
0.0,523.467
0.0,524.658
0.0,525.849
0.0,527.0400000000001
0.0,528.231
0.0,529.422
0.0,530.613
0.0,531.804
0.0,532.995
0.0,534.186
0.0,535.3770000000001
0.0,536.568
0.0,537.759
0.0,538.95
0.0,540.1410000000001
0.0,541.332
0.0,542.523
0.0,543.714
0.0,544.905
0.0,546.096
0.0,547.287
0.0,548.4780000000001
0.0,549.669
0.0,550.86
0.0,552.051
0.0,553.2420000000001
0.0,554.433
0.0,555.624
0.0,556.815
0.0,558.006
0.0,559.197
0.0,560.388
0.0,561.5790000000001
0.0,562.77
0.0,563.961
0.0,565.152
0.0,566.3430000000001
0.0,567.534
0.0,568.725
0.0,569.916
1.0,571.1070000000001
0.0,572.298
0.0,573.489
0.0,574.6800000000001
0.0,575.871
0.0,577.062
0.0,578.253
0.0,579.4440000000001
0.0,580.635
0.0,581.826
0.0,583.017
0.0,584.2080000000001
0.0,585.399
0.0,586.59
1.0,587.7810000000001
0.0,588.972
0.0,590.163
0.0,591.354
0.0,592.5450000000001
0.0,593.736
0.0,594.927
0.0,596.118
0.0,597.3090000000001
0.0,598.5
0.0,599.691
0.0,600.8820000000001
0.0,602.073
0.0,603.264
0.0,604.455
0.0,605.6460000000001
0.0,606.837
0.0,608.028
0.0,609.219
0.0,610.4100000000001
0.0,611.601
0.0,612.792
0.0,613.9830000000001
0.0,615.174
0.0,616.365
0.0,617.556
0.0,618.7470000000001
0.0,619.938
0.0,621.129
0.0,622.32
0.0,623.5110000000001
0.0,624.702
0.0,625.893
0.0,627.0840000000001
0.0,628.275
0.0,629.466
0.0,630.657
0.0,631.8480000000001
0.0,633.039
0.0,634.23
0.0,635.421
0.0,636.6120000000001
0.0,637.803
0.0,638.994
0.0,640.1850000000001
0.0,641.376
0.0,642.567
0.0,643.758
0.0,644.9490000000001
0.0,646.14
0.0,647.331
0.0,648.522
0.0,649.7130000000001
0.0,650.904
0.0,652.095
0.0,653.2860000000001
0.0,654.477
0.0,655.668
0.0,656.859
0.0,658.0500000000001
0.0,659.241
0.0,660.432
0.0,661.623
0.0,662.8140000000001
0.0,664.005
0.0,665.196
0.0,666.3870000000001
0.0,667.5780000000001
0.0,668.769
0.0,669.96
0.0,671.1510000000001
0.0,672.342
0.0,673.533
0.0,674.724
0.0,675.9150000000001
0.0,677.106
0.0,678.297
0.0,679.488
0.0,680.6790000000001
0.0,681.87
0.0,683.061
0.0,684.2520000000001
0.0,685.443
0.0,686.634
0.0,687.825
0.0,689.0160000000001
0.0,690.207
0.0,691.398
0.0,692.589
0.0,693.7800000000001
0.0,694.971
0.0,696.162
0.0,697.3530000000001
0.0,698.544
0.0,699.735
0.0,700.926
0.0,702.1170000000001
0.0,703.308
0.0,704.499
0.0,705.69
0.0,706.8810000000001
0.0,708.072
0.0,709.263
0.0,710.4540000000001
0.0,711.645
0.0,712.836
0.0,714.027
0.0,715.2180000000001
0.0,716.409
0.0,717.6
0.0,718.791
0.0,719.9820000000001
0.0,721.173
0.0,722.364
0.0,723.5550000000001
0.0,724.746
0.0,725.937
0.0,727.128
0.0,728.3190000000001
0.0,729.51
0.0,730.701
0.0,731.892
0.0,733.0830000000001
0.0,734.274
0.0,735.465
0.0,736.6560000000001
0.0,737.847
0.0,739.038
0.0,740.229
0.0,741.4200000000001
0.0,742.611
0.0,743.802
0.0,744.993
0.0,746.1840000000001
0.0,747.375
0.0,748.566
0.0,749.7570000000001
0.0,750.9480000000001
0.0,752.139
0.0,753.33
0.0,754.5210000000001
0.0,755.712
0.0,756.903
0.0,758.094
0.0,759.2850000000001
0.0,760.476
0.0,761.667
0.0,762.8580000000001
0.0,764.0490000000001
0.0,765.24
1.0,766.431
0.0,767.6220000000001
0.0,768.813
0.0,770.004
0.0,771.195
0.0,772.3860000000001
0.0,773.577
0.0,774.768
0.0,775.9590000000001
0.0,777.1500000000001
0.0,778.341
0.0,779.532
0.0,780.7230000000001
0.0,781.914
0.0,783.105
0.0,784.296
0.0,785.4870000000001
0.0,786.678
0.0,787.869
0.0,789.0600000000001
0.0,790.2510000000001
0.0,791.442
0.0,792.633
0.0,793.8240000000001
0.0,795.015
1.0,796.206
0.0,797.397
0.0,798.5880000000001
0.0,799.779
0.0,800.97
0.0,802.1610000000001
0.0,803.3520000000001
0.0,804.543
0.0,805.734
0.0,806.9250000000001
0.0,808.116
0.0,809.307
0.0,810.498
0.0,811.6890000000001
0.0,812.88
0.0,814.071
0.0,815.2620000000001
0.0,816.4530000000001
0.0,817.644
0.0,818.835
0.0,820.0260000000001
0.0,821.217
0.0,822.408
0.0,823.599
0.0,824.7900000000001
0.0,825.981
0.0,827.172
0.0,828.363
0.0,829.5540000000001
0.0,830.745
0.0,831.936
0.0,833.1270000000001
0.0,834.3180000000001
0.0,835.509
0.0,836.7
0.0,837.8910000000001
0.0,839.082
0.0,840.273
0.0,841.464
0.0,842.6550000000001
0.0,843.846
0.0,845.037
0.0,846.2280000000001
0.0,847.4190000000001
0.0,848.61
0.0,849.801
0.0,850.9920000000001
0.0,852.183
0.0,853.374
0.0,854.565
0.0,855.7560000000001
0.0,856.947
0.0,858.138
0.0,859.3290000000001
0.0,860.5200000000001
0.0,861.711
0.0,862.902
0.0,864.0930000000001
0.0,865.284
0.0,866.475
0.0,867.666
0.0,868.8570000000001
0.0,870.048
0.0,871.239
0.0,872.4300000000001
0.0,873.6210000000001
0.0,874.812
0.0,876.003
0.0,877.1940000000001
0.0,878.385
0.0,879.576
0.0,880.767
0.0,881.9580000000001
0.0,883.149
0.0,884.34
0.0,885.5310000000001
0.0,886.7220000000001
0.0,887.913
0.0,889.104
0.0,890.2950000000001
0.0,891.486
0.0,892.677
0.0,893.868
0.0,895.0590000000001
0.0,896.25
0.0,897.441
0.0,898.6320000000001
0.0,899.8230000000001
0.0,901.014
0.0,902.205
0.0,903.3960000000001
0.0,904.587
0.0,905.778
0.0,906.969
0.0,908.1600000000001
0.0,909.351
0.0,910.542
0.0,911.7330000000001
0.0,912.9240000000001
0.0,914.115
0.0,915.306
0.0,916.4970000000001
0.0,917.6880000000001
0.0,918.879
0.0,920.07
0.0,921.2610000000001
0.0,922.452
1.0,923.643
0.0,924.8340000000001
0.0,926.0250000000001
0.0,927.216
0.0,928.407
0.0,929.5980000000001
0.0,930.7890000000001
0.0,931.98
0.0,933.171
0.0,934.3620000000001
0.0,935.553
0.0,936.744
0.0,937.9350000000001
0.0,939.1260000000001
0.0,940.317
0.0,941.508
0.0,942.6990000000001
0.0,943.8900000000001
0.0,945.081
0.0,946.272
0.0,947.4630000000001
0.0,948.654
0.0,949.845
0.0,951.0360000000001
1.0,952.2270000000001
0.0,953.418
0.0,954.609
0.0,955.8000000000001
0.0,956.9910000000001
0.0,958.182
0.0,959.373
0.0,960.5640000000001
0.0,961.755
0.0,962.946
0.0,964.1370000000001
0.0,965.3280000000001
0.0,966.519
0.0,967.71
0.0,968.9010000000001
0.0,970.0920000000001
0.0,971.283
0.0,972.474
0.0,973.6650000000001
0.0,974.856
0.0,976.047
0.0,977.238
0.0,978.4290000000001
0.0,979.62
0.0,980.811
0.0,982.0020000000001
0.0,983.1930000000001
0.0,984.384
0.0,985.575
0.0,986.7660000000001
0.0,987.957
0.0,989.148
0.0,990.339
0.0,991.5300000000001
0.0,992.721
0.0,993.912
0.0,995.1030000000001
0.0,996.2940000000001
0.0,997.485
0.0,998.676
0.0,999.8670000000001
0.0,1001.058
0.0,1002.249
0.0,1003.44
0.0,1004.6310000000001
0.0,1005.822
0.0,1007.013
0.0,1008.2040000000001
0.0,1009.3950000000001
0.0,1010.586
0.0,1011.777
0.0,1012.9680000000001
0.0,1014.1590000000001
0.0,1015.35
0.0,1016.541
0.0,1017.7320000000001
0.0,1018.923
0.0,1020.114
0.0,1021.3050000000001
0.0,1022.4960000000001
0.0,1023.687
0.0,1024.8780000000002
0.0,1026.069
0.0,1027.26
0.0,1028.451
0.0,1029.642
0.0,1030.833
0.0,1032.0240000000001
0.0,1033.2150000000001
0.0,1034.406
0.0,1035.597
0.0,1036.788
0.0,1037.979
0.0,1039.17
0.0,1040.361
0.0,1041.5520000000001
0.0,1042.743
0.0,1043.934
0.0,1045.125
0.0,1046.316
0.0,1047.507
0.0,1048.698
0.0,1049.8890000000001
0.0,1051.0800000000002
0.0,1052.271
0.0,1053.462
0.0,1054.653
0.0,1055.844
0.0,1057.035
0.0,1058.226
0.0,1059.4170000000001
0.0,1060.608
0.0,1061.799
0.0,1062.99
0.0,1064.181
0.0,1065.372
0.0,1066.563
0.0,1067.7540000000001
0.0,1068.9450000000002
0.0,1070.136
0.0,1071.327
0.0,1072.518
0.0,1073.709
0.0,1074.9
0.0,1076.0910000000001
0.0,1077.2820000000002
0.0,1078.473
0.0,1079.664
0.0,1080.855
0.0,1082.046
0.0,1083.237
0.0,1084.428
0.0,1085.6190000000001
0.0,1086.81
0.0,1088.001
0.0,1089.192
0.0,1090.383
0.0,1091.574
0.0,1092.765
0.0,1093.9560000000001
0.0,1095.1470000000002
0.0,1096.338
0.0,1097.529
0.0,1098.72
0.0,1099.911
0.0,1101.102
0.0,1102.2930000000001
0.0,1103.4840000000002
0.0,1104.675
0.0,1105.866
0.0,1107.057
0.0,1108.248
0.0,1109.439
0.0,1110.63
0.0,1111.8210000000001
0.0,1113.012
0.0,1114.203
0.0,1115.394
0.0,1116.585
0.0,1117.776
0.0,1118.967
0.0,1120.1580000000001
0.0,1121.3490000000002
0.0,1122.54
0.0,1123.731
0.0,1124.922
0.0,1126.113
0.0,1127.304
0.0,1128.4950000000001
0.0,1129.6860000000001
0.0,1130.877
0.0,1132.068
0.0,1133.259
0.0,1134.45
0.0,1135.641
0.0,1136.832
0.0,1138.0230000000001
0.0,1139.2140000000002
0.0,1140.405
0.0,1141.596
0.0,1142.787
0.0,1143.978
0.0,1145.169
0.0,1146.3600000000001
0.0,1147.5510000000002
0.0,1148.742
0.0,1149.933
0.0,1151.124
0.0,1152.315
0.0,1153.506
0.0,1154.6970000000001
0.0,1155.8880000000001
0.0,1157.079
0.0,1158.27
0.0,1159.461
0.0,1160.652
0.0,1161.843
0.0,1163.034
