Counts,Degree
262052.0,1.0
166097.0,4.423
165449.0,7.846
88861.0,11.269
86050.0,14.692
47459.0,18.115000000000002
36946.0,21.538
36816.0,24.961
21043.0,28.384
20707.0,31.807000000000002
12041.0,35.230000000000004
12205.0,38.653
7147.0,42.076
5964.0,45.499
6217.0,48.922
3852.0,52.345
4150.0,55.768
2598.0,59.191
2767.0,62.614000000000004
1771.0,66.037
1547.0,69.46000000000001
1845.0,72.883
1084.0,76.306
1358.0,79.729
823.0,83.152
875.0,86.575
1012.0,89.998
678.0,93.421
818.0,96.844
577.0,100.267
668.0,103.69
458.0,107.113
438.0,110.536
543.0,113.959
403.0,117.382
420.0,120.805
304.0,124.22800000000001
367.0,127.651
223.0,131.074
224.0,134.497
238.0,137.92000000000002
195.0,141.343
225.0,144.766
170.0,148.189
187.0,151.612
113.0,155.035
106.0,158.458
141.0,161.881
104.0,165.304
113.0,168.727
88.0,172.15
78.0,175.573
92.0,178.996
55.0,182.419
89.0,185.842
60.0,189.26500000000001
70.0,192.688
56.0,196.111
53.0,199.534
71.0,202.957
72.0,206.38
77.0,209.803
42.0,213.226
82.0,216.649
52.0,220.072
46.0,223.495
77.0,226.918
43.0,230.341
69.0,233.764
47.0,237.187
40.0,240.61
41.0,244.03300000000002
32.0,247.45600000000002
54.0,250.879
45.0,254.302
48.0,257.725
40.0,261.148
27.0,264.571
45.0,267.994
36.0,271.41700000000003
31.0,274.84000000000003
20.0,278.263
26.0,281.686
18.0,285.109
18.0,288.532
21.0,291.955
11.0,295.378
15.0,298.801
4.0,302.224
15.0,305.647
14.0,309.07
6.0,312.493
12.0,315.916
7.0,319.339
19.0,322.762
4.0,326.185
15.0,329.608
6.0,333.031
5.0,336.454
1.0,339.877
6.0,343.3
4.0,346.723
5.0,350.146
4.0,353.569
1.0,356.992
1.0,360.415
4.0,363.838
1.0,367.261
5.0,370.684
2.0,374.107
1.0,377.53000000000003
1.0,380.95300000000003
2.0,384.376
1.0,387.799
1.0,391.222
1.0,394.645
1.0,398.068
1.0,401.491
4.0,404.914
1.0,408.337
3.0,411.76
3.0,415.183
